2011-04-05 08:05:40 Warning: Warning (2): Missing argument 1 for UsersController::update_profile() in [/Library/WebServer/Documents/4227/api/app/controllers/users_controller.php, line 64]
2011-04-11 08:57:11 Warning: Warning (2): Missing argument 1 for ApiComponent::get(), called in /Library/WebServer/Documents/4227/website/app/controllers/users_controller.php on line 8 and defined in [/Library/WebServer/Documents/4227/website/app/controllers/components/api.php, line 6]
2011-04-11 12:06:36 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Library/WebServer/Documents/4227/website/cake/basics.php:110) in [/Library/WebServer/Documents/4227/website/cake/libs/controller/controller.php, line 742]
2011-04-11 12:07:20 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Library/WebServer/Documents/4227/website/cake/basics.php:110) in [/Library/WebServer/Documents/4227/website/cake/libs/controller/controller.php, line 742]
2011-04-11 12:48:21 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Library/WebServer/Documents/4227/website/cake/libs/debugger.php:673) in [/Library/WebServer/Documents/4227/website/cake/libs/controller/controller.php, line 742]
2011-04-11 13:05:36 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /Library/WebServer/Documents/4227/website/cake/basics.php:110) in [/Library/WebServer/Documents/4227/website/cake/libs/controller/controller.php, line 742]
2011-04-11 13:12:00 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:12:57 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:12:58 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:13:21 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:13:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:14:19 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:14:20 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:14:34 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:14:34 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:14:38 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:14:40 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:14:41 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:15:18 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
